Name,MPG,CYL,Hpower,Weight,Acc,Year,Origin
Chevrolet Chevelle Malibu Classic,12,8,160,4456,19.3,72,1
Chevrolet Chevelle Malibu Classic,13,8,190,4422,20.3,72,1
Chevrolet Chevelle Malibu,19,3,97,2330,19.3,72,3
Chevrolet Chevelle Malibu,15,8,150,3892,20.3,72,1
Chevrolet Chevette,13,8,130,4098,18.8,72,1
Chevrolet Chevette,13,8,140,4294,16.8,72,1
Chevrolet Chevette,14,8,150,4077,18.8,72,1
Chevrolet Chevette,18,4,112,2933,18.3,72,2
Chevrolet Citation,22,4,76,2511,14.8,72,2
Chevrolet Citation,21,4,87,2979,13.3,72,2
Chevrolet Citation,26,4,69,2189,14.8,72,2
Chevrolet Concours,22,4,86,2395,16.8,72,1
Chevrolet Impala,28,4,92,2288,15.8,72,3
Chevrolet Impala,23,4,97,2506,18.3,72,3
Chevrolet Impala,28,4,80,2164,17.8,72,1
Chevrolet Impala,27,4,88,2100,16.3,72,3
Chevrolet Malibu Classic (Wagon),13,8,175,4100,19.8,73,1
Chevrolet Malibu,14,8,150,3672,21.3,73,1
Chevrolet Malibu,13,8,145,3988,19.8,73,1
Chevrolet Monte Carlo Landau,14,8,137,4042,18.3,73,1
Chevrolet Monte Carlo Landau,15,8,150,3777,20.3,73,1
Chevrolet Monte Carlo S,12,8,198,4952,21.3,73,1
Chevrolet Monte Carlo,13,8,150,4464,20.8,73,1
Chevrolet Monza 2+2,13,8,158,4363,19.8,73,1
Chevrolet Nova Custom,14,8,150,4237,18.3,73,1
Chevrolet Nova,13,8,215,4735,21.8,73,1
Chevrolet Nova,12,8,225,4951,21.8,73,1
Chevrolet Nova,13,8,175,3821,21.8,73,1
Chevrolet Vega (Wagon),18,6,105,3121,16.3,73,1
Chevrolet Vega 2300,16,6,100,3278,14.8,73,1
Chevrolet Vega,18,6,100,2945,16.8,73,1
Chevrolet Vega,18,6,88,3021,16.3,73,1
Chevrolet Vega,23,6,95,2904,16.8,73,1
Chevrolet Woody,26,4,46,1950,11.8,73,2
Chevy C10,11,8,150,4997,18.8,73,1
Chevy C20,12,8,167,4906,20.3,73,1
Chevy S-10,13,8,170,4654,19.8,73,1
Chrysler Cordoba,12,8,180,4499,20.3,73,1
Chrysler Lebaron Medallion,18,6,100,2789,17.8,73,1
Chrysler Lebaron Salon,20,4,88,2279,13.8,73,3
Chrysler Lebaron Town & Country (Wagon),21,4,72,2401,13.3,73,1
Chrysler New Yorker Brougham,22,4,94,2379,16.3,73,3
Chrysler Newport Royal,18,3,90,2124,19.3,73,3
Citroen DS-21 Pallas,19,4,85,2310,14.3,73,1
Datsun 1200,21,6,107,2472,18.8,73,1
Datsun 200SX,26,4,90,2265,17.3,73,2
Datsun 200SX,15,8,145,4082,19.8,73,1
Datsun 210,16,8,230,4278,23.3,73,1
Datsun 210,29,4,49,1867,13.3,73,2
Datsun 210,24,4,75,2158,17.3,73,2
Datsun 280ZX,20,4,91,2582,18.8,73,2
Datsun 310 GX,19,4,112,2868,17.3,73,2
Datsun 310,15,8,150,3399,21.8,73,1
Datsun 510 (Wagon),24,4,110,2660,18.8,73,2
Datsun 510 Hatchback,20,6,122,2807,19.3,73,3
Datsun 510,11,8,180,3664,21.8,73,1
Datsun 610,20,6,95,3102,16.3,74,1
Datsun 710,19,6,100,2901,16.8,74,1
Datsun 710,15,6,100,3336,15.8,74,1
Datsun 810 Maxima,31,4,67,1950,13.8,74,3
Datsun 810,26,4,80,2451,16.3,74,1
Datsun B-210,32,4,65,1836,11.8,74,3
Datsun B210 GX,25,4,75,2542,15.8,74,1
Datsun B210,16,6,100,3781,15.8,74,1
Datsun F-10 Hatchback,16,6,110,3632,14.8,74,1
Datsun PL510,18,6,105,3613,16.3,74,1
Datsun PL510,16,8,140,4141,18.8,74,1
Dodge Aries SE,13,8,150,4699,18.3,74,1
Dodge Aries Wagon (Wagon),14,8,150,4457,19.3,74,1
Dodge Aspen 6,14,8,140,4638,16.8,74,1
Dodge Aspen SE,14,8,150,4257,17.3,74,1
Dodge Aspen,29,4,83,2219,16.3,74,2
Dodge Aspen,26,4,67,1963,17.3,74,2
Dodge Challenger SE,26,4,78,2300,18.3,74,2
Dodge Charger 2.2,31,4,52,1649,16.3,74,3
Dodge Colt (Wagon),32,4,61,2003,13.8,74,3
Dodge Colt Hardtop,28,4,75,2125,18.3,74,1
Dodge Colt Hatchback Custom,24,4,75,2108,17.3,74,2
Dodge Colt M/M,26,4,75,2246,18.8,74,2
Dodge Colt,24,4,97,2489,17.8,74,3
Dodge Colt,26,4,93,2391,17.3,74,3
Dodge Colt,31,4,67,2000,16.8,74,2
Dodge Coronet Brougham,19,6,95,3264,16.8,75,1
Dodge Coronet Custom (Wagon),18,6,105,3459,16.8,75,1
Dodge Coronet Custom,15,6,72,3432,11.8,75,1
Dodge D100,15,6,72,3158,13.3,75,1
Dodge D200,16,8,170,4668,21.3,75,1
Dodge Dart Custom,15,8,145,4440,18.8,75,1
Dodge Diplomat,16,8,150,4498,18.3,75,1
Dodge Magnum XE,14,8,148,4657,19.3,75,1
Dodge Monaco (Wagon),17,6,110,3907,11.8,75,1
Dodge Monaco Brougham,16,6,105,3897,14.3,75,1
Dodge Omni,15,6,110,3730,13.8,75,1
Dodge Rampage,18,6,95,3785,13.8,75,1
Dodge St. Regis,21,6,110,3039,17.8,75,1
Fiat 124 Sport Coupe,20,8,110,3221,19.3,75,1
Fiat 124 TC,13,8,129,3169,20.8,75,1
Fiat 124B,29,4,75,2171,16.8,75,3
Fiat 128,23,4,83,2639,15.8,75,1
Fiat 128,20,6,100,2914,16.8,75,1
Fiat 131,23,4,78,2592,14.3,75,1
Fiat Strada Custom,24,4,96,2702,19.3,75,3
Fiat X1.9,25,4,71,2223,16.3,75,2
Ford Capri II,24,4,97,2545,15.8,75,3
Ford Country Squire (Wagon),18,6,97,2984,18.3,75,1
Ford Country Squire (Wagon),29,4,70,1937,18.8,75,2
Ford Country,19,6,90,3211,15.8,75,1
Ford Escort 2H,23,4,95,2694,17.8,75,2
Ford Escort 4W,23,4,88,2957,15.8,75,2
Ford F108,22,4,98,2945,18.3,75,2
Ford F250,25,4,115,2671,19.3,75,2
Ford Fairmont (Auto),33,4,53,1795,15.3,75,3
Ford Fairmont (Man),28,4,86,2464,17.3,76,2
Ford Fairmont 4,25,4,81,2220,15.9,76,2
Ford Fairmont Futura,25,4,92,2572,17.9,76,1
Ford Fairmont,26,4,79,2255,15.1,76,1
Ford Fiesta,27,4,83,2202,17.5,76,2
Ford Futura,17.5,8,140,4215,19.8,76,1
Ford Galaxie 500,16,8,150,4190,19.8,76,1
Ford Galaxie 500,15.5,8,120,3962,18.9,76,1
Ford Galaxie 500,14.5,8,152,4215,20,76,1
Ford Gran Torino (Wagon),22,6,100,3233,17.4,76,1
Ford Gran Torino (Wagon),22,6,105,3353,18.3,76,1
Ford Gran Torino,24,6,81,3012,15.2,76,1
Ford Gran Torino,22.5,6,90,3085,15.2,76,1
Ford Gran Torino,29,4,52,2035,10.6,76,1
Ford Granada Ghia,24.5,4,60,2164,10.7,76,1
Ford Granada GL,29,4,70,1937,18.6,76,2
Ford Granada L,33,4,53,1795,15.4,76,3
Ford Granada,20,6,100,3651,15.1,76,1
Ford LTD Landau,18,6,78,3574,11.8,76,1
Ford LTD,18.5,6,110,3645,16.6,76,1
Ford LTD,17.5,6,95,3193,15,76,1
Ford Maverick,29.5,4,71,1825,20.6,76,2
Ford Maverick,32,4,70,1990,15.8,76,3
Ford Maverick,28,4,75,2155,16.4,76,3
Ford Maverick,26.5,4,72,2565,19.2,76,1
Ford Maverick,20,4,102,3150,17.1,76,2
Ford Mustang Boss 302,13,8,150,3940,19.6,76,1
Ford Mustang Cobra,19,4,88,3270,10.9,76,2
Ford Mustang GL,19,6,108,2930,17.3,76,3
Ford Mustang II 2+2,16.5,6,120,3820,16.1,76,2
Ford Mustang II,16.5,8,180,4380,20.7,76,1
Ford Mustang,13,8,145,4055,20.8,76,1
Ford Pinto (Wagon),13,8,130,3870,17.8,76,1
Ford Pinto Runabout,13,8,150,3755,18.8,76,1
Ford Pinto,31.5,4,68,2045,14.3,77,3
Ford Pinto,30,4,80,2155,18,77,1
Ford Pinto,36,4,58,1825,14.2,77,2
Ford Pinto,25.5,4,96,2300,17.3,77,1
Ford Pinto,33.5,4,70,1945,16,77,3
Ford Pinto,17.5,8,145,3880,20.3,77,1
Ford Ranger,17,8,110,4060,13.8,77,1
Ford Thunderbird,15.5,8,145,4140,19.1,77,1
Ford Torino (Wagon),15,8,130,4295,17.9,77,1
Ford Torino 500,17.5,6,110,3520,16.4,77,1
Ford Torino,20.5,6,105,3425,15.9,77,1
Hi 1200D,19,6,100,3630,15.1,77,1
Honda Accord CVCC,18.5,6,98,3525,13.8,77,1
Honda Accord LX,16,8,180,4220,21.7,77,1
Honda Accord,15.5,8,170,4165,21.4,77,1
Honda Accord,15.5,8,190,4325,20.6,77,1
Honda Civic (Auto),16,8,149,4335,18.3,77,1
Honda Civic 1300,29,4,78,1940,18.3,77,2
Honda Civic 1500 GL,24.5,4,88,2740,16.8,77,1
Honda Civic CVCC,26,4,75,2265,14.6,77,3
Honda Civic CVCC,25.5,4,89,2755,17,77,1
Honda Civic,30.5,4,63,2051,15.8,77,1
Honda Civic,33.5,4,83,2075,16.9,77,1
Honda Civic,30,4,67,1985,16.4,77,3
Honda Prelude,30.5,4,78,2190,18.7,77,2
Maxda GLC Deluxe,22,6,97,2815,18.3,77,3
Maxda RX-3,21.5,4,110,2600,20,77,2
Mazda 626,21.5,3,110,2720,19.3,77,3
Mazda 626,43.1,4,48,1985,11.3,78,2
Mazda GLC 4,36.1,4,66,1800,18.4,78,1
Mazda GLC Custom L,32.8,4,52,1985,13.4,78,3
Mazda GLC Custom,39.4,4,70,2070,14.2,78,3
Mazda GLC Deluxe,36.1,4,60,1800,16.4,78,3
Mazda GLC,19.9,8,110,3365,17.3,78,1
Mazda RX-2 Coupe,19.4,8,140,3735,19.6,78,1
Mazda RX-4,20.2,8,139,3570,20,78,1
Mazda RX-7 Gs,19.2,6,105,3535,13.6,78,1
Mercedes-Benz 240D,20.5,6,95,3155,14.6,78,1
Mercedes-Benz 280S,20.2,6,85,2965,17,78,1
Mercedes-Benz 300D,25.1,4,88,2720,17.4,78,1
Mercury Capri 2000,20.5,6,100,3430,15.6,78,1
Mercury Capri V6,19.4,6,90,3210,15.6,78,1
Mercury Cougar Brougham,20.6,6,105,3380,17,78,1
Mercury Grand Marquis,20.8,6,85,3070,16.1,78,1
Mercury Lynx L,18.6,6,110,3620,14.1,78,1
Mercury Marquis Brougham,18.1,6,120,3410,17.7,78,1
Mercury Marquis,19.2,8,145,3425,19.6,78,1
Mercury Monarch Ghia,17.7,6,165,3445,19.4,78,1
Mercury Monarch,18.1,8,139,3205,21.6,78,1
Mercury Zephyr 6,17.5,8,140,4080,19.1,78,1
Mercury Zephyr,30,4,68,2155,16.3,78,1
Nissan Stanza XE,27.5,4,95,2560,18.6,78,3
Oldsmobile Cutlass Ciera (Diesel),27.2,4,97,2300,18.1,78,3
Oldsmobile Cutlass LS,30.9,4,75,2230,18.3,78,1
Oldsmobile Cutlass Salon Brougham,21.1,4,95,2515,18,78,3
Oldsmobile Cutlass Salon Brougham,23.2,4,105,2745,16.1,78,1
Oldsmobile Cutlass Supreme,23.8,4,85,2855,15.2,78,1
Oldsmobile Delta 88 Royale,23.9,4,97,2405,17.9,78,3
Oldsmobile Omega Brougham,20.3,5,103,2830,16.9,78,2
Oldsmobile Omega,17,6,125,3140,19.2,78,2
Oldsmobile Starfire SX,21.6,4,115,2795,17.1,78,2
Oldsmobile Vista Cruiser,16.2,6,133,3410,17,78,2
Opel 1900,31.5,4,71,1990,17.9,78,2
Opel 1900,29.5,4,68,2135,16.2,78,3
Opel Manta,21.5,6,115,3245,17.4,79,1
Opel Manta,19.8,6,85,2990,14.6,79,1
Peugeot 304,22.3,4,88,2890,15.5,79,1
Peugeot 504 (Wagon),20.2,6,90,3265,14.6,79,1
Peugeot 504,20.6,6,110,3360,16.2,79,1
Peugeot 504,17,8,130,3840,17.4,79,1
Peugeot 504,17.6,8,129,3725,19.4,79,1
Peugeot 504,16.5,8,138,3955,19.6,79,1
Peugeot 505S Turbo Diesel,18.2,8,135,3830,17.6,79,1
Peugeot 604SL,16.9,8,155,4360,17.9,79,1
Plymouth Arrow GS,15.5,8,142,4054,18.5,79,1
Plymouth Barracuda 340,19.2,8,125,3605,17.8,79,1
Plymouth Champ,18.5,8,150,3940,19.8,79,1
Plymouth Cricket,31.9,4,71,1925,18.8,79,2
Plymouth Custom Suburb,34.1,4,65,1975,17.6,79,3
Plymouth Duster,35.7,4,80,1915,18.4,79,1
Plymouth Duster,27.4,4,80,2670,17.8,79,1
Plymouth Duster,25.4,5,77,3530,12.7,79,2
Plymouth Fury Gran Sedan,23,8,125,3900,15.4,79,1
Plymouth Fury III,27.2,4,71,3190,8,79,2
Plymouth Fury III,23.9,8,90,3420,10.6,79,1
Plymouth Fury III,34.2,4,70,2200,19.6,79,1
Plymouth Fury,34.5,4,70,2150,17.9,79,1
Plymouth Grand Fury,31.8,4,65,2020,13.6,79,3
Plymouth Horizon 4,37.3,4,69,2130,18.1,79,2
Plymouth Horizon Miser,28.4,4,90,2670,16.8,79,1
Plymouth Horizon TC3,28.8,6,115,2595,21.5,79,1
Plymouth Horizon,26.8,6,115,2700,19.9,79,1
Plymouth Reliant,33.5,4,90,2556,19.6,79,1
Plymouth Reliant,41.5,4,76,2144,18.1,80,2
Plymouth Sapporo,38.1,4,60,1968,14,80,3
Plymouth Satellite (Wagon),32.1,4,70,2120,17.3,80,1
Plymouth Satellite Custom (Wagon),37.2,4,65,2019,16.4,80,3
Plymouth Satellite Custom,28,4,90,2678,16.3,80,1
Plymouth Satellite Sebring,26.4,4,88,2870,14.7,80,1
Plymouth Satellite,24.3,4,90,3003,12.7,80,1
Plymouth Valiant Custom,19.1,6,90,3381,14.1,80,1
Plymouth Valiant,34.3,4,78,2188,17,80,2
Plymouth Valiant,29.8,4,90,2711,17.3,80,3
Plymouth Volare Custom,31.3,4,75,2542,15.3,80,3
Plymouth Volare Premier V8,37,4,92,2434,17.8,80,3
Plymouth Volare,32.2,4,75,2265,17.6,80,3
Pontiac Astro,46.6,4,65,2110,14.9,80,3
Pontiac Catalina Brougham,27.9,4,105,2800,18.4,80,1
Pontiac Catalina,40.8,4,65,2110,13.6,80,3
Pontiac Catalina,44.3,4,48,2085,11.1,80,2
Pontiac Catalina,43.4,4,48,2335,9.1,80,2
Pontiac Firebird,36.4,5,67,2950,12.9,80,2
Pontiac Grand Prix Lj,30,4,67,3250,11,80,2
Pontiac Grand Prix,44.6,4,67,1850,19,80,3
Pontiac J2000 Se Hatchback,33.8,4,67,2145,14.8,80,3
Pontiac Lemans V6,29.8,4,62,1845,17.5,80,2
Pontiac Phoenix LJ,32.7,6,132,2910,21.4,80,3
Pontiac Phoenix,23.7,3,100,2420,20.3,80,3
Pontiac Phoenix,35,4,88,2500,17.7,80,2
Pontiac Safari (Wagon),32.4,4,72,2290,15.8,80,3
Pontiac Sunbird Coupe,27.2,4,84,2490,17.1,81,1
Pontiac Ventura Sj,26.6,4,84,2635,16.4,81,1
Renault 12 (Wagon),25.8,4,92,2620,18.4,81,1
Renault 12TL,23.5,6,110,2725,20.2,81,1
Renault 18I,30,4,84,2385,19.9,81,1
Renault 5 Gtl,39.1,4,58,1755,15.9,81,3
Renault Lecar Deluxe,39,4,64,1875,16.4,81,1
Saab 900S,35.1,4,60,1760,16.7,81,3
Saab 99E,32.3,4,67,2065,15,81,3
Saab 99GLE,37,4,65,1975,13.4,81,3
Saab 99LE,37.7,4,62,2050,15.5,81,3
Saab 99LE,34.1,4,68,1985,16.8,81,3
Subaru DL,34.7,4,63,2215,17.9,81,1
Subaru DL,34.4,4,65,2045,16.6,81,1
Subaru,29.9,4,65,2380,12.1,81,1
Subaru,33,4,74,2190,18.6,81,2
Toyota Carina,33.7,4,75,2210,18.4,81,3
Toyota Celica GT Liftback,32.4,4,75,2350,16,81,3
Toyota Celica GT,32.9,4,100,2615,18,81,3
Toyota Corolla 1200,31.6,4,74,2635,14.5,81,3
Toyota Corolla 1200,28.1,4,80,3230,12.4,81,2
Toyota Corolla 1600 (Wagon),30.7,6,76,3160,13.2,81,2
Toyota Corolla Liftback,25.4,6,116,2900,20.2,81,3
Toyota Corolla Tercel,24.2,6,120,2930,19,81,3
Toyota Corolla,22.4,6,110,3415,17,81,1
Toyota Corolla,26.6,8,105,3725,13.8,81,1
Toyota Corolla,20.2,6,88,3060,15.7,81,1
Toyota Corolla,17.6,6,85,3465,16.2,81,1
Toyota Corolla,28,4,88,2605,13.2,82,1
Toyota Corona Hardtop,27,4,88,2640,14.2,82,1
Toyota Corona Liftback,34,4,88,2395,14.8,82,1
Toyota Corona Mark II,31,4,85,2575,16.6,82,1
Toyota Corona,29,4,84,2525,16.8,82,1
Toyota Corona,27,4,90,2735,14.8,82,1
Toyota Corona,24,4,92,2865,16.4,82,1
Toyota Corona,36,4,74,1980,17.5,82,2
Toyota Cressida,37,4,68,2025,14.6,82,3
Toyota Mark II,31,4,68,1970,15.2,82,3
Toyota Mark II,38,4,63,2125,18.1,82,1
Toyota Starlet,36,4,70,2125,15.5,82,1
Toyota Tercel,36,4,88,2160,18.3,82,3
Toyouta Corona Mark II (Wagon),36,4,75,2205,18.3,82,3
Triumph TR7 Coupe,34,4,70,2245,15.9,82,3
Vokswagen Rabbit,38,4,67,1965,17.8,82,3
Volkswagen 1131 Deluxe Sedan,32,4,67,1965,17.1,82,3
Volkswagen 411 (Wagon),38,4,67,1995,16.6,82,3
Volkswagen Dasher (Diesel),25,6,110,2945,16.4,82,1
Volkswagen Dasher,38,6,85,3015,15.8,82,1
Volkswagen Dasher,26,4,92,2585,18.3,82,1
Volkswagen Dasher,22,6,112,2835,18.1,82,1
Volkswagen Jetta,32,4,96,2665,18.9,82,3
Volkswagen Model 111,36,4,84,2370,19.8,82,1
Volkswagen Pickup,27,4,90,2950,15.5,82,1
Volkswagen Rabbit C (Diesel),27,4,86,2790,17.2,82,1
Volkswagen Rabbit Custom Diesel,44,4,52,2130,8.2,82,2
Volkswagen Rabbit Custom,32,4,84,2295,21.2,82,1
Volkswagen Rabbit Custom,28,4,79,2625,14.2,82,1
Volkswagen Rabbit L,31,4,82,2720,13.4,82,1
